◇ injected env (10) from .dev.vars // tip: ⌘ enable debugging { debug: true }
Running 192 cases against gpt-5.4-nano lang=en effort=xhigh (threshold=0.7, dataset=evals/datasets/en/classification.json)…

  FAIL  [base,c0]  base-0e16a037: expected=Tech Talks got=<bad_response> rule=Tech Talks
  FAIL  [paraphrase,c0]  var-20369901: expected=Tech Talks got=<bad_response> rule=Tech Talks
  FAIL  [paraphrase,c0]  var-7858066a: expected=Tech Talks got=<bad_response> rule=Tech Talks
  FAIL  [paraphrase,c0]  var-96b97d6a: expected=Tech Talks got=<bad_response> rule=Tech Talks
  FAIL  [base,c0]  base-92b81b7c: expected=Tech Talks got=<bad_response> rule=Tech Talks
  FAIL  [paraphrase,c0]  var-f2cae3fd: expected=Tech Talks got=<bad_response> rule=Tech Talks
  FAIL  [paraphrase,c0]  var-04beccff: expected=Tech Talks got=<bad_response> rule=Tech Talks
  FAIL  [paraphrase,c0]  var-d61c73e5: expected=Tech Talks got=<bad_response> rule=Tech Talks
  FAIL  [base,c0]  base-658111f3: expected=Tech Talks got=<bad_response> rule=Tech Talks
  FAIL  [paraphrase,c0]  var-3403e53b: expected=Tech Talks got=<bad_response> rule=Tech Talks
  FAIL  [paraphrase,c0]  var-73ac7be8: expected=Tech Talks got=<bad_response> rule=Tech Talks
  FAIL  [paraphrase,c0]  var-f19b644a: expected=Tech Talks got=<bad_response> rule=Tech Talks
  FAIL  [base,c0]  base-ab5013f7: expected=Tech Talks got=<bad_response> rule=Tech Talks
  FAIL  [paraphrase,c0]  var-c326f7d4: expected=Tech Talks got=<bad_response> rule=Tech Talks
  FAIL  [paraphrase,c0]  var-cd66ff5c: expected=Tech Talks got=<bad_response> rule=Tech Talks
  FAIL  [paraphrase,c0]  var-f9310e15: expected=Tech Talks got=<bad_response> rule=Tech Talks
  FAIL  [base,c0]  base-16acd1b1: expected=Tech Talks got=<bad_response> rule=Tech Talks
  FAIL  [paraphrase,c0]  var-dc723ad5: expected=Tech Talks got=<bad_response> rule=Tech Talks
  FAIL  [paraphrase,c0]  var-0092c088: expected=Tech Talks got=<bad_response> rule=Tech Talks
  FAIL  [paraphrase,c0]  var-0ae8d78b: expected=Tech Talks got=<bad_response> rule=Tech Talks
  FAIL  [base,c1]  base-2575fa88: expected=Nightlife Entertainment got=<bad_response> rule=Nightlife Entertainment
  FAIL  [paraphrase,c1]  var-b0eab386: expected=Nightlife Entertainment got=<bad_response> rule=Nightlife Entertainment
  FAIL  [paraphrase,c1]  var-6bb4ba61: expected=Nightlife Entertainment got=<bad_response> rule=Nightlife Entertainment
  FAIL  [base,c1]  base-6ab2e640: expected=Nightlife Entertainment got=<bad_response> rule=Nightlife Entertainment
  FAIL  [paraphrase,c1]  var-bae48ac0: expected=Nightlife Entertainment got=<bad_response> rule=Nightlife Entertainment
  FAIL  [paraphrase,c1]  var-dd3a9b09: expected=Nightlife Entertainment got=<bad_response> rule=Nightlife Entertainment
  FAIL  [base,c1]  base-df56519a: expected=Nightlife Entertainment got=<bad_response> rule=Nightlife Entertainment
  FAIL  [paraphrase,c1]  var-6ac5d99b: expected=Nightlife Entertainment got=<bad_response> rule=Nightlife Entertainment
  FAIL  [paraphrase,c1]  var-93e1fabd: expected=Nightlife Entertainment got=<bad_response> rule=Nightlife Entertainment
  FAIL  [paraphrase,c1]  var-525558fd: expected=Nightlife Entertainment got=<bad_response> rule=Nightlife Entertainment
  FAIL  [base,c2]  base-29c63f88: expected=Home Wellness got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c2]  var-0a891dba: expected=Home Wellness got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c2]  var-687fdd03: expected=Home Wellness got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c2]  var-46039515: expected=Home Wellness got=<bad_response> rule=<miss>
  FAIL  [base,c2]  base-c4acab11: expected=Home Wellness got=<bad_response> rule=<miss>
